data_source,condition,gap,category,count,percentage,group_total
all,1,240,only_endpoints,5053,16.320532,30961
all,1,240,endpoints_with_all_internal,23076,74.532476,30961
all,1,240,endpoints_with_partial_internal,2832,9.146991,30961
all,2,120,only_endpoints,35413,28.692383,123423
all,2,120,endpoints_with_all_internal,86042,69.713100,123423
all,2,120,endpoints_with_partial_internal,1968,1.594516,123423
all,3,24,only_endpoints,219016,65.579936,333968
all,3,24,endpoints_with_all_internal,114950,34.419465,333968
all,3,24,endpoints_with_partial_internal,2,0.000599,333968
all,4,12,only_endpoints,289768,79.309835,365362
all,4,12,endpoints_with_all_internal,75594,20.690165,365362
all,4,12,endpoints_with_partial_internal,0,0.000000,365362
DFEW,1,240,only_endpoints,4853,20.974155,23138
DFEW,1,240,endpoints_with_all_internal,16132,69.720806,23138
DFEW,1,240,endpoints_with_partial_internal,2153,9.305039,23138
DFEW,2,120,only_endpoints,31837,31.929276,99711
DFEW,2,120,endpoints_with_all_internal,66175,66.366800,99711
DFEW,2,120,endpoints_with_partial_internal,1699,1.703924,99711
DFEW,3,24,only_endpoints,193924,65.351266,296741
DFEW,3,24,endpoints_with_all_internal,102815,34.648060,296741
DFEW,3,24,endpoints_with_partial_internal,2,0.000674,296741
DFEW,4,12,only_endpoints,257932,79.012391,326445
DFEW,4,12,endpoints_with_all_internal,68513,20.987609,326445
DFEW,4,12,endpoints_with_partial_internal,0,0.000000,326445
Express4D,1,240,only_endpoints,200,2.556564,7823
Express4D,1,240,endpoints_with_all_internal,6944,88.763901,7823
Express4D,1,240,endpoints_with_partial_internal,679,8.679535,7823
Express4D,2,120,only_endpoints,3576,15.080972,23712
Express4D,2,120,endpoints_with_all_internal,19867,83.784582,23712
Express4D,2,120,endpoints_with_partial_internal,269,1.134447,23712
Express4D,3,24,only_endpoints,25092,67.402692,37227
Express4D,3,24,endpoints_with_all_internal,12135,32.597308,37227
Express4D,3,24,endpoints_with_partial_internal,0,0.000000,37227
Express4D,4,12,only_endpoints,31836,81.804867,38917
Express4D,4,12,endpoints_with_all_internal,7081,18.195133,38917
Express4D,4,12,endpoints_with_partial_internal,0,0.000000,38917
