Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
03:23:30:34.086,61,0.0018722073,0.0839674994,0.0358926356,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0018778078,0.0844688043,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0192574095,0.0284603741,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0013815585,0.0058843214,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0003596803,0.0003646764,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000121,0.0373918973,0.0118792504,0.0348309986,0.0201850254,0.0396182537,0.0026881120,0.0199339427,0.0396441668,0.0052235951
03:23:30:35.086,61,0.0018574375,0.0838496983,0.0360793583,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0018629070,0.0843533725,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0192316957,0.0284678601,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0013770765,0.0058575538,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0001650372,0.0001704429,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000133,0.0380233079,0.0138719976,0.0353166647,0.0202976540,0.0395639837,0.0027089720,0.0200395212,0.0395898670,0.0052395728
03:23:30:36.085,61,0.0017600264,0.0838086903,0.0366181247,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0017651869,0.0843197554,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0194867235,0.0288541839,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0013019091,0.0058231461,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000299,0.0380233079,0.0138719976,0.0353166647,0.0205987506,0.0395479202,0.0027641268,0.0203426704,0.0395738780,0.0052939425
03:23:30:37.085,61,0.0016468558,0.0834682286,0.0371196307,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0016516731,0.0839856416,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0198762771,0.0293913074,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0011970485,0.0057921847,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000603,0.0385232344,0.0146000832,0.0362656079,0.0208745487,0.0393908769,0.0028152044,0.0206264034,0.0394167751,0.0053360858
03:23:30:38.085,61,0.0015301139,0.0834672228,0.0375917256,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0015345837,0.0839911848,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0202126168,0.0298922993,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010959450,0.0057771164,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000714,0.0391681939,0.0150958002,0.0370822623,0.0211340301,0.0393933058,0.0028626218,0.0208918713,0.0394192040,0.0053846543
03:23:30:39.085,61,0.0014159363,0.0837448016,0.0381302945,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0014200697,0.0842767581,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0205725785,0.0303954240,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0010219766,0.0057769017,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000793,0.0396246389,0.0156994760,0.0372655168,0.0214352030,0.0395272076,0.0029172136,0.0211932845,0.0395531058,0.0054479311
03:23:30:40.085,61,0.0013125909,0.0843277276,0.0383751988,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0013164064,0.0848642588,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0208466388,0.0308263339,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0009482587,0.0057716081,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000767,0.0400581956,0.0156569332,0.0371488668,0.0215700902,0.0398029536,0.0029409875,0.0213279612,0.0398288518,0.0054896534
03:23:30:41.085,61,0.0012368539,0.0844019949,0.0388060324,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0012403864,0.0849446803,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0209968574,0.0311455950,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0008512064,0.0057437900,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000601,0.0402485393,0.0151071697,0.0366917290,0.0218074266,0.0398405939,0.0029843540,0.0215698220,0.0398664922,0.0055362149
03:23:30:42.084,61,0.0012259107,0.0841711238,0.0391477756,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0012293173,0.0847181231,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0210765880,0.0313667059,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007775747,0.0057215374,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000506,0.0402775258,0.0145805776,0.0362067856,0.0220018476,0.0397341549,0.0030202791,0.0217631795,0.0397600234,0.0055648987
03:23:30:43.084,61,0.0012490193,0.0841900781,0.0394325294,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0012524126,0.0847410336,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0210594144,0.0314681008,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0007458051,0.0057199351,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000416,0.0401130766,0.0138928294,0.0357435048,0.0221631750,0.0397448242,0.0030497944,0.0219231807,0.0397706926,0.0055948091
